Nombre;Especie;Género;Familia;Orden
;Semnopithecus ajax;Semnopithecus;Cercopithecidae;PRIMATES
;Oxymycterus akodontius;Oxymycterus;Cricetidae;RODENTIA
;Ellobius alaicus;Ellobius;Cricetidae;RODENTIA
Bandro;Hapalemur alaotrensis;Hapalemur;Lemuridae;PRIMATES
;Hypsugo alaschanicus;Hypsugo;Vespertilionidae;CHIROPTERA
;Spermophilus alashanicus;Spermophilus;Sciuridae;RODENTIA
;Sorex alaskanus;Sorex;Soricidae;SORICOMORPHA
;Ectophylla alba;Ectophylla;Phyllostomidae;CHIROPTERA
;Pseudochirops albertisii;Pseudochirops;Pseudocheiridae;DIPROTODONTIA
;Callosciurus albescens;Callosciurus;Sciuridae;RODENTIA
;Myotis albescens;Myotis;Vespertilionidae;CHIROPTERA
;Hylobates albibarbis;Hylobates;Hylobatidae;PRIMATES
Sakí blanco;Pithecia albicans;Pithecia;Pitheciidae;PRIMATES
;Brachytarsomys albicauda;Brachytarsomys;Nesomyidae;RODENTIA
;Olallamys albicauda;Olallamys;Echimyidae;RODENTIA
;Ichneumia albicauda;Ichneumia;Herpestidae;CARNIVORA
;Mystromys albicaudatus;Mystromys;Nesomyidae;RODENTIA
;Alticola albicaudus;Alticola;Cricetidae;RODENTIA
;Coccymys albidens;Coccymys;Muridae;RODENTIA
Lémur cabeza blanca;Eulemur albifrons;Eulemur;Lemuridae;PRIMATES
Capuchino de frente blanca;Cebus albifrons;Cebus;Cebidae;PRIMATES
;Lophocebus albigena;Lophocebus;Cercopithecidae;PRIMATES
;Neotoma albigula;Neotoma;Cricetidae;RODENTIA
;Scotoecus albigula;Scotoecus;Vespertilionidae;CHIROPTERA
;Oryzomys albigularis;Oryzomys;Cricetidae;RODENTIA
;Chiropotes albinasus;Chiropotes;Pitheciidae;PRIMATES
;Brucepattersonius albinasus;Brucepattersonius;Cricetidae;RODENTIA
;Poecilogale albinucha;Poecilogale;Mustelidae;CARNIVORA
;Arborimus albipes;Arborimus;Cricetidae;RODENTIA
;Conilurus albipes;Conilurus;Muridae;RODENTIA
;Stenocephalemys albipes;Stenocephalemys;Muridae;RODENTIA
Ciervo de hocico blanco;Przewalskium albirostris;Przewalskium;Cervidae;ARTIODACTYLA
Delfín de hocico blanco;Lagenorhynchus albirostris;Lagenorhynchus;Delphinidae;CETACEA
;Trinomys albispinus;Trinomys;Echimyidae;RODENTIA
;Akodon albiventer;Akodon;Cricetidae;RODENTIA
;Nyctimene albiventer;Nyctimene;Pteropodidae;CHIROPTERA
;Didelphis albiventris;Didelphis;Didelphidae;DIDELPHIMORPHIA
Erizo de vientre blanco;Atelerix albiventris;Atelerix;Erinaceidae;ERINACEOMORPHA
;Noctilio albiventris;Noctilio;Noctilionidae;CHIROPTERA
;Stenocephalemys albocaudata;Stenocephalemys;Muridae;RODENTIA
;Pseudomys albocinereus;Pseudomys;Muridae;RODENTIA
;Eulemur albocollaris;Eulemur;Lemuridae;PRIMATES
;Scotoecus albofuscus;Scotoecus;Vespertilionidae;CHIROPTERA
Cercopiteco de cuello blanco;Cercopithecus albogularis;Cercopithecus;Cercopithecidae;PRIMATES
;Glauconycteris alboguttata;Glauconycteris;Vespertilionidae;CHIROPTERA
;Hylopetes alboniger;Hylopetes;Sciuridae;RODENTIA
;Dasyurus albopunctatus;Dasyurus;Dasyuridae;DASYUROMORPHIA
Ardilla voladora gigante roja y blanca;Petaurista alborufus;Petaurista;Sciuridae;RODENTIA
;Diclidurus albus;Diclidurus;Emballonuridae;CHIROPTERA
;Myotis alcathoe;Myotis;Vespertilionidae;CHIROPTERA
Alce;Alces alces;Alces;Cervidae;ARTIODACTYLA
;Pappogeomys alcorni;Pappogeomys;Geomyidae ;RODENTIA
;Rhinolophus alcyone;Rhinolophus;Rhinolophidae;CHIROPTERA
;Pteropus aldabrensis;Pteropus;Pteropodidae;CHIROPTERA
;Aethalops alecto;Aethalops;Pteropodidae;CHIROPTERA
Zorro volador negro;Pteropus alecto;Pteropus;Pteropodidae;CHIROPTERA
;Cyttarops alecto;Cyttarops;Emballonuridae;CHIROPTERA
;Emballonura alecto;Emballonura;Emballonuridae;CHIROPTERA
;Crocidura aleksandrisi;Crocidura;Soricidae;SORICOMORPHA
;Rhinophylla alethina;Rhinophylla;Phyllostomidae;CHIROPTERA
;Phalanger alexandrae;Phalanger;Phalangeridae;DIPROTODONTIA
;Paraxerus alexandri;Paraxerus;Sciuridae;RODENTIA
;Crossarchus alexandri;Crossarchus;Herpestidae;CARNIVORA
;Notomys alexis;Notomys;Muridae;RODENTIA
;Microsciurus alfari;Microsciurus;Sciuridae;RODENTIA
;Sigmodontomys alfari;Sigmodontomys;Cricetidae;RODENTIA
;Oryzomys alfaroi;Oryzomys;Cricetidae;RODENTIA
Ciervo moteado de Filipinas;Rusa alfredi;Rusa;Cervidae;ARTIODACTYLA
;Atelerix algirus;Atelerix;Erinaceidae;ERINACEOMORPHA
;Histiotus alienus;Histiotus;Vespertilionidae;CHIROPTERA
;Akodon aliquantulus;Akodon;Cricetidae;RODENTIA
;Galago alleni;Galago;Galagidae;PRIMATES
;Sciurus alleni;Sciurus;Sciuridae;RODENTIA
;Neofiber alleni;Neofiber;Cricetidae;RODENTIA
;Hodomys alleni;Hodomys;Cricetidae;RODENTIA
;Sigmodon alleni;Sigmodon;Cricetidae;RODENTIA
;Dasymys alleni;Dasymys;Muridae;RODENTIA
Ratón de madera de Allen;Hylomyscus alleni;Hylomyscus;Muridae;RODENTIA
;Lepus alleni;Lepus;Leporidae;LAGOMORPHA
;Rhogeessa alleni;Rhogeessa;Vespertilionidae;CHIROPTERA
;Bassaricyon alleni;Bassaricyon;Procyonidae;CARNIVORA
;Crocidura allex;Crocidura;Soricidae;SORICOMORPHA
;Chaerephon aloysiisabaudiae;Chaerephon;Molossidae;CHIROPTERA
;Apodemus alpicola;Apodemus;Muridae;RODENTIA
;Ochotona alpina;Ochotona;Ochotonidae;LAGOMORPHA
;Tamias alpinus;Tamias;Sciuridae;RODENTIA
;Sorex alpinus;Sorex;Soricidae;SORICOMORPHA
;Plecotus alpinus;Plecotus;Vespertilionidae;CHIROPTERA
;Cuon alpinus;Cuon;Canidae;CARNIVORA
;Micoureus alstoni;Micoureus;Didelphidae;DIDELPHIMORPHIA
Ratón mexicano de los volcanes;Neotomodon alstoni;Neotomodon;Cricetidae;RODENTIA
;Sigmodon alstoni;Sigmodon;Cricetidae;RODENTIA
;Talpa altaica;Talpa;Talpidae;SORICOMORPHA
;Mustela altaica;Mustela;Mustelidae;CARNIVORA
;Myotis altarium;Myotis;Vespertilionidae;CHIROPTERA
;Cricetulus alticola;Cricetulus;Cricetidae;RODENTIA
;Maxomys alticola;Maxomys;Muridae;RODENTIA
;Cryptotis alticola;Cryptotis;Soricidae;SORICOMORPHA
;Perognathus alticolus;Perognathus;Heteromyidae;RODENTIA
;Microryzomys altissimus;Microryzomys;Cricetidae;RODENTIA
Murciélago mastín de Álvarez;Molossus alvarezi;Molossus;Molossidae;CHIROPTERA
;Cryptomys amatus;Cryptomys;Bathyergidae;RODENTIA
;Oxymycterus amazonicus;Oxymycterus;Cricetidae;RODENTIA
;Kannabateomys amblyonyx;Kannabateomys;Echimyidae;RODENTIA
;Monodelphis americana;Monodelphis;Didelphidae;DIDELPHIMORPHIA
;Martes americana;Martes;Mustelidae;CARNIVORA
;Mazama americana;Mazama;Cervidae;ARTIODACTYLA
Berrendo;Antilocapra americana;Antilocapra;Antilocapridae;ARTIODACTYLA
Liebre americana;Lepus americanus;Lepus;Leporidae;LAGOMORPHA
Oso negro americano;Ursus americanus;Ursus;Ursidae;CARNIVORA
;Alces americanus;Alces;Cervidae;ARTIODACTYLA
Cabra blanca;Oreamnos americanus;Oreamnos;Bovidae;ARTIODACTYLA
;Phyllotis amicus;Phyllotis;Cricetidae;RODENTIA
Argali;Ovis ammon;Ovis;Bovidae;ARTIODACTYLA
;Tamias amoenus;Tamias;Sciuridae;RODENTIA
;Necromys amoenus;Necromys;Cricetidae;RODENTIA
;Gerbillus amoenus;Gerbillus;Muridae;RODENTIA
Rata topera;Arvicola amphibius;Arvicola;Cricetidae;RODENTIA
Hipopótamo común;Hippopotamus amphibius;Hippopotamus;Hippopotamidae;ARTIODACTYLA
;Rousettus amplexicaudatus;Rousettus;Pteropodidae;CHIROPTERA
;Perognathus amplus;Perognathus;Heteromyidae;RODENTIA
;Notomys amplus;Notomys;Muridae;RODENTIA
;Artibeus amplus;Artibeus;Phyllostomidae;CHIROPTERA
Zifio calderón boreal;Hyperoodon ampullatus;Hyperoodon;Ziphiidae;CETACEA
;Lemmus amurensis;Lemmus;Cricetidae;RODENTIA
;Erinaceus amurensis;Erinaceus;Erinaceidae;ERINACEOMORPHA
;Uromys anak;Uromys;Muridae;RODENTIA
;Meles anakuma;Meles;Mustelidae;CARNIVORA
Ornitorrinco;Ornithorhynchus anatinus;Ornithorhynchus;Ornithorhynchidae;MONOTREMATA
;Microtus anatolicus;Microtus;Cricetidae;RODENTIA
;Pteralopex anceps;Pteralopex;Pteropodidae;CHIROPTERA
;Otomys anchietae;Otomys;Muridae;RODENTIA
;Plerotes anchietae;Plerotes;Pteropodidae;CHIROPTERA
;Hypsugo anchietae;Hypsugo;Vespertilionidae;CHIROPTERA
;Rattus andamanensis;Rattus;Muridae;RODENTIA
;Crocidura andamanensis;Crocidura;Soricidae;SORICOMORPHA
;Dobsonia anderseni;Dobsonia;Pteropodidae;CHIROPTERA
;Artibeus anderseni;Artibeus;Phyllostomidae;CHIROPTERA
;Marmosa andersoni;Marmosa;Didelphidae;DIDELPHIMORPHIA
;Philander andersoni;Philander;Didelphidae;DIDELPHIMORPHIA
;Myodes andersoni;Myodes;Cricetidae;RODENTIA
;Gerbillus andersoni;Gerbillus;Muridae;RODENTIA
;Niviventer andersoni;Niviventer;Muridae;RODENTIA
;Uropsilus andersoni;Uropsilus;Talpidae;SORICOMORPHA
;Abrothrix andinus;Abrothrix;Cricetidae;RODENTIA
;Oligoryzomys andinus;Oligoryzomys;Cricetidae;RODENTIA
;Eptesicus andinus;Eptesicus;Vespertilionidae;CHIROPTERA
;Phyllotis andium;Phyllotis;Cricetidae;RODENTIA
;Stylodipus andrewsi;Stylodipus;Dipodidae;RODENTIA
;Bunomys andrewsi;Bunomys;Muridae;RODENTIA
;Funisciurus anerythrus;Funisciurus;Sciuridae;RODENTIA
;Pteropus anetianus;Pteropus;Pteropodidae;CHIROPTERA
Niala;Tragelaphus angasii;Tragelaphus;Bovidae;ARTIODACTYLA
;Mesocapromys angelcabrerai;Mesocapromys;Capromyidae;RODENTIA
;Colobus angolensis;Colobus;Cercopithecidae;PRIMATES
;Graphiurus angolensis;Graphiurus;Gliridae;RODENTIA
;Lophuromys angolensis;Lophuromys;Muridae;RODENTIA
;Myomyscus angolensis;Myomyscus;Muridae;RODENTIA
;Epomophorus angolensis;Epomophorus;Pteropodidae;CHIROPTERA
;Lissonycteris angolensis;Lissonycteris;Pteropodidae;CHIROPTERA
;Laephotis angolensis;Laephotis;Vespertilionidae;CHIROPTERA
;Genetta angolensis;Genetta;Viverridae;CARNIVORA
;Otomys angoniensis;Otomys;Muridae;RODENTIA
;Oryzomys angouya;Oryzomys;Cricetidae;RODENTIA
;Oxymycterus angularis;Oxymycterus;Cricetidae;RODENTIA
;Pipistrellus angulatus;Pipistrellus;Vespertilionidae;CHIROPTERA
;Neotoma angustapalata;Neotoma;Cricetidae;RODENTIA
;Spilogale angustifrons;Spilogale;Mephitidae;CARNIVORA
Elefante marino del norte;Mirounga angustirostris;Mirounga;Phocidae;CARNIVORA
;Moschus anhuiensis;Moschus;Moschidae;ARTIODACTYLA
;Myotis anjouanensis;Myotis;Vespertilionidae;CHIROPTERA
Lémur saltador de Ankarana;Lepilemur ankaranensis;Lepilemur;Lepilemuridae;PRIMATES
;Tachyoryctes ankoliae;Tachyoryctes;Spalacidae;RODENTIA
;Myotis annamiticus;Myotis;Vespertilionidae;CHIROPTERA
;Rattus annandalei;Rattus;Muridae;RODENTIA
;Myotis annectans;Myotis;Vespertilionidae;CHIROPTERA
;Tachyoryctes annectens;Tachyoryctes;Spalacidae;RODENTIA
;Pearsonomys annectens;Pearsonomys;Cricetidae;RODENTIA
;Spermophilus annulatus;Spermophilus;Sciuridae;RODENTIA
;Sciurus anomalus;Sciurus;Sciuridae;RODENTIA
;Heteromys anomalus;Heteromys;Heteromyidae;RODENTIA
;Neomys anomalus;Neomys;Soricidae;SORICOMORPHA
;Cryptomys anselli;Cryptomys;Bathyergidae;RODENTIA
;Crocidura ansellorum;Crocidura;Soricidae;SORICOMORPHA
Rata de bolsa gigante del sur;Cricetomys ansorgei;Cricetomys;Nesomyidae;RODENTIA
;Lophuromys ansorgei;Lophuromys;Muridae;RODENTIA
;Arvicanthis ansorgei;Arvicanthis;Muridae;RODENTIA
;Chaerephon ansorgei;Chaerephon;Molossidae;CHIROPTERA
;Crossarchus ansorgei;Crossarchus;Herpestidae;CARNIVORA
;Neotoma anthonyi;Neotoma;Cricetidae;RODENTIA
;Hypsugo anthonyi;Hypsugo;Vespertilionidae;CHIROPTERA
;Heteropsomys antillensis;Heteropsomys;Echimyidae;RODENTIA
;Macropus antilopinus;Macropus;Macropodidae;DIPROTODONTIA
;Hypogeomys antimena;Hypogeomys;Nesomyidae;RODENTIA
;Sorex antinorii;Sorex;Soricidae;SORICOMORPHA
;Saccopteryx antioquensis;Saccopteryx;Emballonuridae;CHIROPTERA
;Hippocamelus antisensis;Hippocamelus;Cervidae;ARTIODACTYLA
;Eliurus antsingy;Eliurus;Nesomyidae;RODENTIA
Papión oliva;Papio anubis;Papio;Cercopithecidae;PRIMATES
;Thomasomys apeco;Thomasomys;Cricetidae;RODENTIA
Mono maicero;Cebus apella;Cebus;Cebidae;PRIMATES
Cuis común;Cavia aperea;Cavia;Caviidae;RODENTIA
;Thrichomys apereoides;Thrichomys;Echimyidae;RODENTIA
;Sigmodontomys aphrastus;Sigmodontomys;Cricetidae;RODENTIA
;Phyllonycteris aphylla;Phyllonycteris;Phyllostomidae;CHIROPTERA
;Parantechinus apicalis;Parantechinus;Dasyuridae;DASYUROMORPHIA
;Lenoxus apicalis;Lenoxus;Cricetidae;RODENTIA
;Nectomys apicalis;Nectomys;Cricetidae;RODENTIA
;Leporillus apicalis;Leporillus;Muridae;RODENTIA
;Pseudomys apodemoides;Pseudomys;Muridae;RODENTIA
;Tarsomys apoensis;Tarsomys;Muridae;RODENTIA
;Scapteromys aquaticus;Scapteromys;Cricetidae;RODENTIA
;Sylvilagus aquaticus;Sylvilagus;Leporidae;LAGOMORPHA
Topo norteamericano;Scalopus aquaticus;Scalopus;Talpidae;SORICOMORPHA
;Hyemoschus aquaticus;Hyemoschus;Tragulidae;ARTIODACTYLA
;Notomys aquilo;Notomys;Muridae;RODENTIA
;Lophuromys aquilus;Lophuromys;Muridae;RODENTIA
;Gerbillus aquilus;Gerbillus;Muridae;RODENTIA
;Crocidura arabica;Crocidura;Soricidae;SORICOMORPHA
;Gazella arabica;Gazella;Bovidae;ARTIODACTYLA
;Hypsugo arabicus;Hypsugo;Vespertilionidae;CHIROPTERA
Mono araña muriqui del sur;Brachyteles arachnoides;Brachyteles;Atelidae;PRIMATES
;Plagiodontia araeum;Plagiodontia;Capromyidae;RODENTIA
Musaraña bicolor;Sorex araneus;Sorex;Soricidae;SORICOMORPHA
;Sturnira aratathomasi;Sturnira;Phyllostomidae;CHIROPTERA
;Dendrohyrax arboreus;Dendrohyrax;Procaviidae;HYRACOIDEA
;Sminthopsis archeri;Sminthopsis;Dasyuridae;DASYUROMORPHIA
Pósum de cola anillada verde;Pseudochirops archeri;Pseudochirops;Pseudocheiridae;DIPROTODONTIA
;Melomys arcium;Melomys;Muridae;RODENTIA
;Lepus arcticus;Lepus;Leporidae;LAGOMORPHA
;Sorex arcticus;Sorex;Soricidae;SORICOMORPHA
Macaco rabón;Macaca arctoides;Macaca;Cercopithecidae;PRIMATES
Oso pardo;Ursus arctos;Ursus;Ursidae;CARNIVORA
;Taeromys arcuatus;Taeromys;Muridae;RODENTIA
;Rhinolophus arcuatus;Rhinolophus;Rhinolophidae;CHIROPTERA
;Oligoryzomys arenalis;Oligoryzomys;Cricetidae;RODENTIA
;Chaetodipus arenarius;Chaetodipus;Heteromyidae;RODENTIA
;Geomys arenarius;Geomys;Geomyidae ;RODENTIA
;Spalax arenarius;Spalax;Spalacidae;RODENTIA
;Taterillus arenarius;Taterillus;Muridae;RODENTIA
;Carpitalpa arendsi;Carpitalpa;Chrysochloridae;AFROSORICIDA
;Onychomys arenicola;Onychomys;Cricetidae;RODENTIA
;Rattus arfakiensis;Rattus;Muridae;RODENTIA
;Nycteris arge;Nycteris;Nycteridae;CHIROPTERA
Tití plateado;Callithrix argentata;Callithrix;Cebidae;PRIMATES
;Ochotona argentata;Ochotona;Ochotonidae;LAGOMORPHA
;Glauconycteris argentata;Glauconycteris;Vespertilionidae;CHIROPTERA
;Kerivoula argentata;Kerivoula;Vespertilionidae;CHIROPTERA
;Alticola argentatus;Alticola;Cricetidae;RODENTIA
;Heliophobius argenteocinereus;Heliophobius;Bathyergidae;RODENTIA
;Apodemus argenteus;Apodemus;Muridae;RODENTIA
;Ctenomys argentinus;Ctenomys;Ctenomyidae;RODENTIA
Rata del arroz;Rattus argentiventer;Rattus;Muridae;RODENTIA
;Zyzomys argurus;Zyzomys;Muridae;RODENTIA
;Casinycteris argynnis;Casinycteris;Pteropodidae;CHIROPTERA
;Grammomys aridulus;Grammomys;Muridae;RODENTIA
;Hypsugo ariel;Hypsugo;Vespertilionidae;CHIROPTERA
Oveja;Ovis aries;Ovis;Bovidae;ARTIODACTYLA
;Meriones arimalius;Meriones;Muridae;RODENTIA
;Crocidura arispa;Crocidura;Soricidae;SORICOMORPHA
;Sigmodon arizonae;Sigmodon;Cricetidae;RODENTIA
;Sorex arizonae;Sorex;Soricidae;SORICOMORPHA
;Sciurus arizonensis;Sciurus;Sciuridae;RODENTIA
;Papagomys armandvillei;Papagomys;Muridae;RODENTIA
;Spermophilus armatus;Spermophilus;Sciuridae;RODENTIA
;Sicista armenica;Sicista;Dipodidae;RODENTIA
;Crocidura armenica;Crocidura;Soricidae;SORICOMORPHA
Gran murciélago de hoja redonda;Hipposideros armiger;Hipposideros;Hipposideridae;CHIROPTERA
;Trichosurus arnhemensis;Trichosurus;Phalangeridae;DIPROTODONTIA
;Nyctophilus arnhemensis;Nyctophilus;Vespertilionidae;CHIROPTERA
;Berardius arnuxii;Berardius;Ziphiidae;CETACEA
;Mallomys aroaensis;Mallomys;Muridae;RODENTIA
;Solenodon arredondoi;Solenodon;Solenodontidae;SORICOMORPHA
;Rattus arrogans;Rattus;Muridae;RODENTIA
;Chaetodipus artus;Chaetodipus;Heteromyidae;RODENTIA
;Pteropus aruensis;Pteropus;Pteropodidae;CHIROPTERA
;Sorex arunchi;Sorex;Soricidae;SORICOMORPHA
;Redunca arundinum;Redunca;Bovidae;ARTIODACTYLA
Topillo campesino;Microtus arvalis;Microtus;Cricetidae;RODENTIA
Cercopiteco de cola roja;Cercopithecus ascanius;Cercopithecus;Cercopithecidae;PRIMATES
;Cuscomys ashaninka;Cuscomys;Abrocomidae;RODENTIA
Topo dorado de El Cabo;Chrysochloris asiatica;Chrysochloris;Chrysochloridae;AFROSORICIDA
Asno;Equus asinus;Equus;Equidae;PERISSODACTYLA
;Lagorchestes asomatus;Lagorchestes;Macropodidae;DIPROTODONTIA
;Myospalax aspalax;Myospalax;Spalacidae;RODENTIA
;Parahydromys asper;Parahydromys;Muridae;RODENTIA
;Sorex asper;Sorex;Soricidae;SORICOMORPHA
Macaco de Assam;Macaca assamensis;Macaca;Cercopithecidae;PRIMATES
;Anourosorex assamensis;Anourosorex;Soricidae;SORICOMORPHA
;Petrogale assimilis;Petrogale;Macropodidae;DIPROTODONTIA
Cacomixtle;Bassariscus astutus;Bassariscus;Procyonidae;CARNIVORA
;Myotis atacamensis;Myotis;Vespertilionidae;CHIROPTERA
;Suncus ater;Suncus;Soricidae;SORICOMORPHA
;Hipposideros ater;Hipposideros;Hipposideridae;CHIROPTERA
;Myotis ater;Myotis;Vespertilionidae;CHIROPTERA
Mangabeye de cresta negra;Lophocebus aterrimus;Lophocebus;Cercopithecidae;PRIMATES
;Muntiacus atherodes;Muntiacus;Cervidae;ARTIODACTYLA
;Dorcopsis atrata;Dorcopsis;Macropodidae;DIPROTODONTIA
;Pteralopex atrata;Pteralopex;Pteropodidae;CHIROPTERA
;Emballonura atrata;Emballonura;Emballonuridae;CHIROPTERA
;Lasiurus atratus;Lasiurus;Vespertilionidae;CHIROPTERA
;Spermophilus atricapillus;Spermophilus;Sciuridae;RODENTIA
;Phoniscus atrox;Phoniscus;Vespertilionidae;CHIROPTERA
;Zaglossus attenboroughi;Zaglossus;Tachyglossidae;MONOTREMATA
;Crocidura attenuata;Crocidura;Soricidae;SORICOMORPHA
Orca pigmea;Feresa attenuata;Feresa;Delphinidae;CETACEA
Delfín manchado tropical;Stenella attenuata;Stenella;Delphinidae;CETACEA
;Crocidura attila;Crocidura;Soricidae;SORICOMORPHA
;Geomys attwateri;Geomys;Geomyidae ;RODENTIA
Ratón tejano;Peromyscus attwateri;Peromyscus;Cricetidae;RODENTIA
Mangabey gris;Cercocebus atys;Cercocebus;Cercopithecidae;PRIMATES
